건물형태, 군구분,부대구분(관리부대),단지명,시도,시군구,읍면동,리,준공연도,공급세대,면적(15)50이하,면적(24)80이하,면적(30)100이하,면적(36)120이하,면적확인불가
아파트,육군,5군지여단,꿈에그린 푸르미마을,경기도,의정부시,가능동,,2016,360,,320,40,,
아파트,육군,5군지여단,청학 주공아파트,경기도,남양주시,별내면,청학리,1999,10,,,10,,
아파트,육군,1기갑여단,군 건립 6동,경기도,포천시,영북면,운천리,1994,30,,30,,,
아파트,육군,1기갑여단,군 건립 8동,경기도,포천시,영북면,운천리,2001,30,,30,,,
아파트,육군,1기갑여단,산내들 I-PARK 아파트,경기도,포천시,영북면,운천리,2014,395,,308,85,2,
아파트,육군,1기갑여단,산내들 아파트,경기도,포천시,영북면,운천리,2011,112,,56,52,4,
아파트,육군,1기갑여단,금강아미움,강원도,철원군,동송읍,이평리,2008,2,,,,2,
아파트,육군,3사단,김화BTL관사,강원도,철원군,김화읍,청양리,2011,200,,,194,6,
아파트,육군,3사단,신철원ESA아파트,강원도,철원군,갈말읍,신철원리,2008,62,,,,62,
아파트,육군,3사단,삼성스위첼,강원도,철원군,서면,자등리,2013,48,,48,,,
아파트,육군,3사단,삼성아파트 1동,강원도,철원군,서면,자등리,1985,24,24,,,,
아파트,육군,3사단,삼성아파트 3동,강원도,철원군,서면,자등리,1985,14,14,,,,
아파트,육군,3사단,삼성아파트 6동,강원도,철원군,서면,자등리,1999,30,,30,,,
아파트,육군,3사단,삼성아파트 7동,강원도,철원군,서면,자등리,2000,30,,30,,,
아파트,육군,3사단,삼성아파트 8동,강원도,철원군,서면,자등리,2000,30,,30,,,
아파트,육군,3사단,삼성아파트(9동),강원도,철원군,서면,자등리,2002,20,,20,,,
아파트,육군,3사단,쉬리마을,강원도,철원군,김화읍,학사리,2014,52,,52,,,
아파트,육군,3사단,신원아파트,강원도,철원군,서면,와수리,1996,50,,33,,17,
아파트,육군,3사단,청양아파트 1동,강원도,철원군,김화읍,청양리,1989,19,,19,,,
아파트,육군,3사단,청양아파트 2동,강원도,철원군,김화읍,청양리,1995,30,,30,,,
아파트,육군,3사단,청양아파트 3동,강원도,철원군,김화읍,청양리,2001,30,,,30,,
아파트,육군,3사단,유명한들 아파트,강원도,철원군,갈말읍,군탄리,1998,13,13,,,,
아파트,육군,3사단,혜산진아파트,강원도,철원군,갈말읍,지경리,2001,20,,20,,,
아파트,육군,6사단,경남아너스빌,강원도,철원군,동송읍,이평리,2012,324,,90,,219,15
아파트,육군,6사단,금강아파트,강원도,철원군,동송읍,이평리,2008,21,,,,21,
아파트,육군,6사단,금강아파트,강원도,철원군,동송읍,이평리,2008,31,,1,,30,
아파트,육군,6사단,산호아파트,강원도,철원군,철원읍,화지리,2002,87,,87,,,
아파트,육군,6사단,유명아파트102동,강원도,철원군,동송읍,이평리,1997,41,41,,,,
아파트,육군,6사단,청성아파트 11동,강원도,철원군,동송읍,이평리,2002,29,,29,,,
아파트,육군,6사단,청성아파트 8동,강원도,철원군,동송읍,이평리,1994,30,,30,,,
아파트,육군,6사단,청성아파트 9동,강원도,철원군,동송읍,이평리,1994,30,,30,,,
아파트,육군,6사단,청성아파트 10동,강원도,철원군,동송읍,이평리,2001,30,,30,,,
아파트,육군,6사단,중앙아파트,강원도,철원군,갈말읍,신철원리,1993,46,,6,40,,
아파트,육군,6사단,명품ESA아파트,강원도,철원군,갈말읍,지포리,2007,5,,,,5,
아파트,육군,5포병여단,금강아미움,강원도,철원군,동송읍,이평리,2008,14,,,,14,
아파트,육군,5포병여단,기산베스트빌,경기도,포천시,일동면,기산리,2006,12,,,12,,
아파트,육군,5포병여단,동송산호 아파트,강원도,철원군,철원읍,화지리,2002,85,,85,,,
아파트,육군,5포병여단,명품ESA 아파트,강원도,철원군,갈말읍,지포리,2008,16,,,,16,
아파트,육군,5포병여단,목련아파트 2동,강원도,철원군,갈말읍,문혜리,1983,24,,24,,,
아파트,육군,5포병여단,목련아파트 3동,강원도,철원군,갈말읍,문혜리,1993,24,,24,,,
아파트,육군,5포병여단,목련아파트 5동,강원도,철원군,갈말읍,문혜리,1995,60,,60,,,
아파트,육군,5포병여단,포천 산호 아파트,경기도,포천시,신북면,기지리,2001,13,,,13,,
아파트,육군,5포병여단,전곡 석미 모닝아파트,경기도,연천군,전곡읍,전곡리,2002,17,,17,,,
아파트,육군,5포병여단,승포아트빌,강원도,철원군,갈말읍,문혜리,2017,110,,,110,,
아파트,육군,5군단,산호아파트,경기도,포천시,신북면,기지리,2001,24,,24,,,
아파트,육군,5군단,포미재아파트,경기도,포천시,신북면,가채리,2005,32,,,32,,
아파트,육군,5군단,금강 아미움,강원도,철원군,동송읍,이평리,2009,5,,,,5,
아파트,육군,5군단,리버 아파트,경기도,포천시,일동면,기산리,1994,32,,32,,,
아파트,육군,5군단,새동네 아파트,경기도,포천시,이동면,노곡리,2003,20,,20,,,
아파트,육군,5군단,이동아이파크,경기도,포천시,이동면,장암리,2014,300,,,245,55,
아파트,육군,5군단,에이트빌,경기도,포천시,이동면,노곡리,2011,192,,92,92,8,
아파트,육군,5군단,오뚜기 아파트,경기도,포천시,이동면,노곡리,1994,38,,38,,,
